Vastuskerroin,10 pot â€“ edel,1-edellinen,Mitattu arvo x10000,Mitattu arvo,Log mitattu arvo
0,1,0,4679,0.4679,1
0.1,0.7943282347,0.2056717653,5596,0.5596,1.1959820474
0.2,0.6309573445,0.3690426555,6116,0.6116,1.3071169053
0.3,0.5011872336,0.4988127664,7227,0.7227,1.5445608036
0.4,0.3981071706,0.6018928294,8043,0.8043,1.7189570421
0.5,0.316227766,0.683772234,14290,1.429,3.0540713828
0.6,0.2511886432,0.7488113568,18100,1.81,3.8683479376
0.7,0.1995262315,0.8004737685,19790,1.979,4.2295362257
0.8,0.1584893192,0.8415106808,22630,2.263,4.8365035264
0.9,0.1258925412,0.8741074588,25130,2.513,5.3708057277
1,0.1,0.9,26530,2.653,5.6700149605
inf,0,1,48340,4.834,10.3312673648
